Name,Value Research ID,Industry,Investment
Florence Investech,15711,Chemicals,
Fortis Healthcare (India),17265,Services,
Foseco India,1190,Chemicals,
Future Consumer Ltd.,21325,General,
Future Lifestyle Fashion,22107,Services,
Future Retail,23379,General,
Gabriel India,1230,Auto,
GAIL,1263,Oil and Gas,
Galaxy Surfactants,24179,Consumer Goods,
Ganesha Ecosphere,1246,manufacturing,
Garware Polyester,1259,Chemicals,
Garware Technical Fibres,1262,Manufacturing,
Gateway Distriparks Ltd.,15954,General,
Gati,6660,Services,
Gayatri Projects,6741,Real Estate,
GE Power India Ltd.,6203,Utilities,
GE T and D (I),6285,General,
General Insurance Corporation,23934,Insurance,
Genus power,1279,Utilities,
Geojit Financial Services,4796,Bank/Finance,
GHCL,1395,Chemicals,
Gillette,1708,Consumer Goods,
Glaxosmithkline Consumer Healthcare,3700,Consumer Goods,
Glaxosmithkline Pharmaceuticals Ltd.,6830,Pharma,
Glenmark Pharma.,6194,Pharma,YES
GMDC,1409,Mines/Mineral,
GMR Infrastructure Ltd.,6707,Real Estate,
GNA Axles,23521,Auto,
GNFC,1412,Chemicals,
Goa Carbon,1307,Oil and Gas,
Godawari Power & Ispat,16603,mines/Mineral,
Godfrey Phillips India,1313,Consumer Goods,
Godrej Agrovet,17040,General,
Godrej Consumer Products,6734,Consumer Goods,
Godrej Industries,1315,General,
Godrej Properties,5917,Real Estate,YES
Goodyear India,1337,Auto,
Granules India,7381,Pharma,
Graphite India,1352,Engineering,
Grasim Industries,1353,Cement,
Grauer and Weil (I),1355,Chemicals,
Great Eastern Shipping Co.,1357,Services,
Greaves Cotton,1359,Engineering,
Greenply Inds.,1363,General,
Grindwell Norton,1368,Engineering,
Gruh Finance,1372,Bank/Finance,Planned
GSFC,1429,Chemicals,
Gufic Biosciences,4650,Pharma,
Gujarat Alkalies & Chemicals Ltd.,1373,Chemicals,
Gujarat Fluorochemicals Ltd.,1393,Chemicals,
Gujarat Gas Ltd.,22210,Oil and Gas,
Gujarat Industries Power,1399,Utilities,
Gujarat Pipavav Port,6211,Services,
Gujarat State Petronet,16522,oil and Gas,YES
Gulf Oil Lubricants India,22449,Oil and Gas,
Hathway Cable & Datacom Ltd.,20667,Services,
Hatsun Agro,1504,Consumer Goods,
Havells India,1505,Engineering,
Hawkins Cookers,1506,Consumer Goods,
HBL Power,3383,Utilities,
HCL Infosystems,1457,IT,
HCL Technologies,6105,IT,YES
HDFC,1611,Bank/Finance,YES
HDFC AMC,24486,General,YES
HDFC Bank,1459,Bank/Finance,YES
HDFC Standard Life,24028,Insurance,YES
HDIL,17466,Real Estate,
Healthcare global,23303,Pharma,
HEG,1460,Engineering,
Heidelberg Cement India,2554,Cement,
Heritage Foods,1516,Consumer Goods,
Hero Motocorp,1518,Auto,YES
Hexaware Technologies,250,IT,
Hikal Ltd,1527,General,
HIL,1615,real Estate,
Himachal Fut Com Ltd.,1533,Chemicals,
Himadri Speciality Chemical,1536,Utilities,
Himatsingka Seide,1540,Manufacturing,
Hindalco Inds.,1549,Mines/Mineral,YES
Hinduja Global Solutions,17186,IT,
Hindustan Construction Co. Ltd.,1559,Real Estate,
Hindustan Copper Ltd.,1560,Mines/Mineral,
Hindustan Foods,1567,Consumer Goods,
Hindustan Media Ventures,20900,General,
Hindustan Oil Exploration Co,1576,Oil and Gas,
Hindustan Petroleum Corpn.,1578,Oil and Gas,
Hindustan Unilever,1572,Consumer Goods,YES
Hindustan Zinc,1585,Mines/Mineral,YES
Honda Siel Power,6056,Engineering,
Honeywell Automation India,4039,Engineering,
Housing & Urban Development Corpn.,6452,Real Estate,YES
HSIL,1581,Real Estate,
HT Media,16033,General,
ICICI Bank,1622,Bank/Finance,
ICICI Lombard General,23472,Insurance,YES
ICICI Prudential Life Insurance Co. Ltd.,23527,Bank/Finance,YES
ICICI Securities,18743,Services,
ICRA,5851,Services,
IDBI Bank Ltd.,1755,Bank/Finance,
IDFC Bank,23138,Bank/Finance,
IFB Industries Ltd.,1629,Engineering,
IFCI Ltd.,1756,General,
IFGL Refractories,23898,General,
IG Petrochemicals,1632,Chemicals,
Igarashi Motors India Ltd.,625,Auto,
IIFL Holdings,6324,Bank/Finance,YES
IL&FS Transportation Networks Ltd.,20705,Services,
India Cements,1668,Cement,
India Glycols,1672,Chemicals,
Indiabulls Housing Finance,20721,Bank/Finance,YES
Indiabulls Integrated Services,21312,IT,
Indiabulls Real Estate,17108,Real Estate,
Indiabulls Ventures,18170,Bank/Finance,
Indian Bank,5858,Bank/Finance,
Indian Hotels Co. Ltd.,1694,General,
Indian Oil Corp.,1699,Oil and Gas,YES
Indian Overseas Bank,6713,Bank/Finance,
Indo Count Inds.,1721,Manufacturing,
Indoco Remedies Ltd.,15927,General,
Indraprastha Gas,15728,Oil and Gas,YES
Indusind Bank,1751,Bank/Finance,YES
INEOS Styrolution,472,Chemicals,
Infibeam Incorporation,23319,Services,
Infinite Computer Solutions,20627,IT,
Info Edge (India),17003,General,
Infosys,1764,IT,YES
Ingersoll Rand (India) Ltd.,1766,General,
INOX Leisure,16526,Services,
Inox Wind,22767,Engineering,
Insecticides,17304,Chemicals,
Intellect Design,22630,IT,
Interglobe Aviation,23164,Services,YES
International Paper,207,consumer Goods,
Ipca Laboratories,1807,Pharma,
IRB Infrastructure Dev,18358,Engineering,
ITC,1642,Consumer Goods,YES
ITD Cementation India,5958,Cement,
ITI Ltd.,1643,General,
J Kumar infra,18186,Real Estate,
Jagran Prakashan,15765,General,
Jai Corp Ltd.,1854,General,
Jain Irrigation Systems,1860,Chemicals,
Jammu & Kashmir Bank Ltd.,6517,Bank/Finance,
Jamna Auto Inds,1874,Auto,
Jay Bharat Maruti,1884,Auto,
JB Chemicals and Pharma,1820,Pharma,
JBF Industries,1821,Manufacturing,
JBM Auto,6907,Auto,
Jet Airways India,6708,Services,
Jindal Poly Films Ltd.,1920,Manufacturing,
Jindal Saw Ltd.,3491,Mines/Mineral,
Jindal Stainless (Hisar) Ltd.,23227,Mines/Mineral,
Jindal Steel and Power,6170,Mines/Mineral,
Jindal Worldwide,7232,manufacturing,
JK Cement,16006,Cement,
JK Lakshmi Cement,1832,Cement,
JK Paper,4651,consumer Goods,
JK Tyre and Industries,1834,Auto,
JM Financial,1843,Bank/Finance,
Johnson Controls - Hitachi Air Conditioning India,196,Consumer Goods,
JSW Energy,20597,Utilities,
JSW Steel,1922,Mines/Mineral,YES
JTEKT India,3724,Auto,
Jubilant FoodWorks,20629,Services,
Jubilant Life Sciences,4293,Pharma,
Just Dial,22074,IT,
Jyothy Laboratories,18071,Consumer Goods,
Kajaria Ceramics,1971,General,
Kalpataru Power Trans,1979,Utilities,
Kalyani steels,1986,Mines/Mineral,
Kama Holdings,6894,Chemicals,
Kansai Nerolac Paints,1335,Chemicals,YES
Karnataka Bank,4962,Bank/Finance,
Karur Vysya Bank,4967,Bank/Finance,
Kaveri Seed Company,17700,Consumer Goods,
KEC International,16548,Engineering,YES
Kei Industries,2046,Engineering,YES
Kennametal India,4463,Engineering,
Kesoram Industries Ltd.,2058,General,
Kewal Kiran Clothing,16600,Manufacturing,
Khadim India,24024,consumer Goods,
KIC Metaliks,1972,mines/Mineral,
Kirloskar Ferrous Inds.,2095,mines/Mineral,
Kirloskar Oil Engines,21091,Engineering,
Kirloskar Pneumatic Co.,2099,Engineering,
Kitex Garments,2102,Manufacturing,
KNR Construction,18249,Real Estate,
Kohinoor Foods,3481,Consumer Goods,
Kolte Patil Developers,18063,Real Estate,
Kotak Mahindra Bank,2118,Bank/Finance,YES
Kothari Products,2123,Consumer Goods,
KPIT Technologies,5971,IT,
KPR Mills,17606,Manufacturing,
KRBL,2075,Consumer Goods,
KSE,1962,Consumer Goods,
Kwality Ltd.,2157,Consumer Goods,
L and T Finance Holdings,21427,Bank/Finance,YES
L and T Infotech,23456,IT,
L&T Technology Services Ltd.,23518,IT,
La Opala RG,2167,General,
Lakshmi Machine Works,2182,Engineering,
Lakshmi Vilas Bank Ltd.,5006,Bank/Finance,
Larsen and Toubro,2192,Engineering,YES
Laurus Labs,23623,Pharma,
Lemon Tree Hotels,24290,Services,
LG Balakrishnan and Bros.,2159,Engineering,
Liberty Shoes,2211,General,
LIC Housing Fin.,2160,Bank/Finance,YES
Linde India Ltd.,397,General,
LT Foods,17056,Consumer Goods,
Lumax auto tech,17083,Auto,
Lupin,2240,Pharma,YES
Lux Industries,23211,Manufacturing,
M and M Financial Services,5039,Bank/Finance,
Magma Fincorp,6456,Bank/Finance,
Mahanagar Gas,23409,Oil and Gas,YES
Maharashtra Seamless,2313,Mines/Mineral,
Mahindra and Mahindra,2321,Auto,YES
Mahindra CIE Automotive Ltd.,16732,Auto,
Mahindra Holidays and Resorts India,20333,Services,
Mahindra Logistics,24011,Services,
Majesco,22971,IT,
Manappuram Finance,7106,Bank/Finance,YES
Mangalore Refinery & Petrochemicals Ltd.,2346,Oil and Gas,
Manpasand Beverages,22975,Consumer Goods,
Marico,2370,Consumer Goods,Planned
Marksans Pharma,3996,Pharma,
Maruti Suzuki India,6442,Auto,YES
Mas Financial Services,21437,Bank/Finance,
Mastek,2385,IT,
Max Financial Services,2390,Bank/Finance,
Max India Ltd.,23254,General,
Mayur Uniquoters,2401,Manufacturing,
Mayur Uniquoters,2401,manufacturing,
McLeod Russel India Ltd.,2408,General,
Meghmani Organics,17388,Chemicals,
Mercator,2426,Services,
Merck,6867,Pharma,
Minda Corporation Ltd.,21701,Auto,
Minda Industries,15853,Auto,Planned
MindTree,17165,IT,YES
Mirza International,2466,Consumer Goods,
MM Forgings,2254,Mines/Mineral,
MMTC Ltd.,2256,General,
MOIL,21084,Mines/Mineral,
Mold-Tek packaging,20747,General,
Monsanto India,2506,Chemicals,
Morganite Crucible India,1360,general,
Motherson Sumi Systems,2519,Auto,Planned
Motilal Oswal Financial,17686,Bank/Finance,
Mphasis,6481,IT,
MPS,5024,General,
MRF,2261,Auto,
Munjal Auto,7217,Auto,
Munjal Showa,2546,Auto,
Music Broadcast,22898,Services,
Muthoot Capital Services,5093,Bank/Finance,
Muthoot Finance,16822,Bank/Finance,YES
NACL Industries,2582,Chemicals,
Nandan Denim,16002,Manufacturing,YES
Narayana Hrudayalaya,23212,Services,
Natco Pharma,2613,Pharma,YES
National Aluminium Co.,2617,Mines/Mineral,
National Fertilizers Ltd.,2619,Chemicals,
Nava Bharat Ventures,2636,General,
Navin Fluorine International,15717,Chemicals,YES
Navkar Corporation,23111,Services,
Navneet Education Ltd.,2640,General,
NBCC Ltd.,21650,Engineering,YES
NCC,2583,Real Estate,
NCL Industries,2561,Cement,
Nectar Lifesciences,16019,Pharma,
Nesco,2661,General,
Nestle India,2654,Consumer Goods,
Network18 Media & Investments Ltd.,17024,General,
Newgen Software Technologies,24148,IT,
NHPC,5107,Utilities,
NIIT Technologies,15854,IT,
Nilkamal,2676,Manufacturing,
NLC India Ltd.,2662,General,
NMDC,2621,Mines/Mineral,
NOCIL,2622,Chemicals,
NRB Bearings,2576,Engineering,
NTPC,5109,Utilities,YES
Nucleus Software,2709,IT,
Oberoi Realty,21033,Real Estate,YES
OCL India,2718,Cement,
Omaxe,16821,Real Estate,
ONGC,2730,Oil and Gas,
Oracle Fin Ser Software,6608,IT,YES
Oricon Enterprises,2767,Chemicals,
Orient Cement Ltd.,22002,Cement,
Orient Electric,24182,Engineering,
Orient Paper,2761,consumer Goods,
Orient Refractories,21624,General,
Oriental Bank of Commerce,2765,Bank/Finance,
Oriental Carbon & Chemicals,2766,Chemicals,
P and G Hygiene and Health Care,3042,Consumer Goods,
Page Industries,17174,Manufacturing,
Panasonic Carbon India Co.,1728,Engineering,
Parag Milk Foods Ltd.,23372,Consumer Goods,
PC Jeweller,21888,General,
Pennar Industries,2900,Mines/Mineral,
Persistent Systems,20707,IT,YES
Petronet LNG,15766,Oil and Gas,YES
Pfizer,2916,Pharma,
Phillips Carbon Black,2924,Chemicals,
Phoenix Mills,2928,Real Estate,
PI Industries,2806,Chemicals,
Pidilite Industries,2933,Chemicals,YES
Pilani Investment,5181,Services,
Piramal Enterprises,2667,Pharma,YES
Plastiblends India,2953,Chemicals,
PNB Housing Finance,15760,Bank/Finance,
PNC Infratech,22918,General,
Polaris Consulting & Services Ltd.,6077,IT,
Poly Medicure,2963,Chemicals,
Polyplex Corporation,2968,Chemicals,
Power Finance Corporation Ltd.,5190,Services,
Power Grid Corp.,5191,Utilities,Planned
Power Mech Projects,23095,Engineering,
Prabhat Dairy,23127,Consumer Goods,
Praj Industries,2982,Engineering,
Prataap Snacks,23889,Consumer Goods,
Prestige Estates Projects,21040,Real Estate,YES
Pricol,23668,Auto,
Prism Johnson,3036,Cement,
PSP Projects,23749,Real Estate,
PTC India,15771,Services,
PVR,16471,General,
Quess corp,23411,Bank/Finance,
Radico Khaitan,15666,Consumer Goods,
Rain Industries,3039,Cement,
Rajesh Exports,3159,General,YES
Rajratan Global Wire,3172,Auto,
Rallis India,3177,Chemicals,
Ramco Industries,5229,real Estate,
Ramkrishna Forgings,15811,Engineering,
Rane Holdings,3197,Auto,
Rashtriya Chemicals & Fertilizers Ltd.,3208,Chemicals,
Ratnamani Metals and Tubes,3220,Mines/Mineral,
RattanIndia Power Ltd.,20503,General,
Raymond,3232,General,
RBL Bank,21457,Bank/Finance,YES
Redington India,15683,IT,
Relaxo Footwears,3247,General,Planned
Reliance Capital,3249,Bank/Finance,
Reliance Defence and Engineering,17433,Engineering,
Reliance Industrial Infrastructure,3251,Real Estate,
Reliance Industries,3252,Oil and Gas,YES
Reliance Infrastructure Ltd.,403,General,
Reliance Nippon,24009,General,
Reliance Power Ltd.,18248,Utilities,
Religare Enterprises,17944,Bank/Finance,
Repco Home Finance Ltd.,21999,Bank/Finance,
Rico Auto,3272,Auto,
Ruby Mills,3322,Manufacturing,
Rupa & Company Ltd.,21476,General,
S H Kelkar and Company Ltd.,23152,General,
Sadbhav Engineering,16530,Engineering,
Sadhana Nitro Chem,3387,Chemicals,
Safari Industries,3388,CHemicals,
Sahyadri Industries,17249,real Estate,
Saint-Gobain,6092,General,
Salzer,3412,General,
Sandhar Technologies,24274,Auto,
Sanghvi Movers,3446,Real Estate,
Sanofi India,6796,Chemicals,
Sarla Performance Fibers,3469,Manufacturing,
Sasken Technologies,16034,IT,YES
Satin Creditcare Network,23099,Bank/Finance,
Savita Oil Technologies,3488,Chemicals,
SBI Life,23887,Insurance,YES
Schaeffler India,1128,Auto,
Schneider Electric Infrastructure Ltd.,21567,General,
Security and Intelligence Services,23830,Services,
Seshasayee Paper,3521,consumer Goods,
Seya Industries,3791,Chemicals,
Shaily Engineering Plastics,7860,Services,
Shakti Pumps (India),3531,Engineering,
Shalimar Paints,3532,Chemicals,
Shankara Building,23702,Mines/Mineral,
Sharda Cropchem,22558,Chemicals,
Sharda Motor Industries,22065,Engineering,
Sheela Foam Ltd.,23600,General,
Shilpa Medicare Ltd.,3567,General,
Shipping Corp. of India,3571,Services,
Shoppers Stop Ltd.,6254,General,
Shree Cement,3589,Cement,
Shree Pushkar Chemicals,23121,Chemicals,
Shree Renuka Sugars Ltd.,16052,Consumer Goods,
Shriram City Union Finance,5372,Bank/Finance,
Shriram Transport Finance,3640,Bank/Finance,
Sical Logistics,3733,Services,
Siemens,3656,Engineering,
Siyaram Silk Mills,3691,Manufacturing,
SJVN,20785,Utilities,
SKF India,3349,Engineering,
Skipper,22484,Engineering,
SML Isuzu,3973,Auto,
SNL Bearings,3639,Engineering,
Snowman Logistics Ltd.,22549,Services,
Sobha,16913,Real Estate,Planned
Solar Industries,16554,Engineering,
Somany Ceramics,3364,Chemicals,
Sonata Software,5951,IT,YES
South Indian Bank Ltd.,7218,Bank/Finance,
SP Apparels,23479,Manufacturing,
Spicejet,6850,Services,
Sreeleathers,22062,Consumer Goods,
SREI Infrastructure Finance,3366,Bank/Finance,
SRF,3367,Manufacturing,Planned
Srikalahasthi pipe,2190,General,
Star Cement Ltd.,23776,Cement,
Star Paper Mills,3813,consumer Goods,
State Bank of India,3820,Bank/Finance,YES
State Trading Corpn. Of India,3823,Services,
Steel Authority of India Ltd.,3824,Mines/Mineral,
Sterlite Technologies,6541,General,
Strides Shasun,6185,Pharma,
Subros,3866,Auto,
Sudarshan Chemicals,3870,Chemicals,
Sun Pharmaceutical Inds.,3887,Pharma,YES
Sun TV Network,16602,General,
Sundaram Finance,5433,Bank/Finance,
Sundram Fasteners,3894,Bank/Finance,
Sunteck Realty,7639,Real Estate,Planned
Suprajit Eng,5628,Auto,
Supreme Industries,3929,Chemicals,
Supreme Petrochem Ltd.,3931,Chemicals,
Sutlej Textiles and Industries,17055,Manufacturing,
Suven Life Sciences,3963,Pharma,
Suzlon Energy,16048,Utilities,
Swan Energy Ltd.,3971,General,
Swaraj Engines,3972,Engineering,
Swelect Energy Systems,2712,Engineering,
Symphony,3989,Consumer Goods,
Syndicate Bank,6614,Bank/Finance,
Syngene International,23050,Pharma,YES
Take Solutions,17604,IT,Planned
Talwalkar Fitness,20779,Services,
Tamil Nadu Newsprint & Papers Ltd.,4019,General,
Tasty Bite Eatables,4031,Consumer Goods,
Tata Chemicals,4033,Chemicals,YES
Tata Coffee,6533,Consumer Goods,
Tata Communications,4348,General,
Tata Consultancy Services,15850,IT,YES
Tata Elxsi,4036,IT,Planned
Tata Global Beverages,4050,General,
Tata Investment Corp.,4042,Bank/Finance,
Tata Metaliks,4044,mines/Mineral,
Tata Motors,4037,Auto,YES
Tata Power,4047,Utilities,
Tata Sponge Iron,4049,Mines/Mineral,
Tata Steel,4043,Mines/Mineral,YES
TCI,23500,Services,
TeamLease Services,23240,Services,
Tech Mahindra,16800,IT,
Techno Electric and Engg,4060,Engineering,Planned
Texmaco Rail & Eng. Ltd.,21069,Engineering,
Thangamayil Jewellery,20656,General,
The New India Assurance,24023,Insurance,
The Ramco Cements,2285,Cement,
Thermax,4090,Engineering,
Thirumalai Chemicals,4093,Chemicals,
Thomas Cook (India),4094,Services,
Thyrocare Technologies,23353,Services,
Tide Water Oil Co. (India),5492,General,
Time Technoplast,5493,Chemicals,
Timken India,4052,Engineering,
Tinplate,4102,Mines/Mineral,
Titagarh Wagons,18632,Consumer Goods,
Titan Company,4114,General,
Torrent Pharmaceuticals,4126,Pharma,
Torrent Power,17005,Utilities,
Trent,2176,General,
Trident,46,Manufacturing,
Triveni Turbine,21350,Engineering,
TTK Prestige,4007,Consumer Goods,
Tube investment,23857,Auto,
TV Today Network,15738,General,
TV18 Broadcast Ltd.,17095,General,
TVS Electronics,15727,Services,
TVS Motor Co.,6421,Auto,YES
TVS Srichakra,4010,Auto,
UCO Bank,15704,Bank/Finance,
UFLEX,1172,Chemicals,
UFO Moviez India,22894,Services,
Ujjivan Financial Services,22699,Bank/Finance,YES
Ultratech Cement,15812,Cement,YES
Unichem Laboratories,4206,Pharma,
Union Bank of India,6221,Bank/Finance,
Uniphos Enterprises,4234,Chemicals,
Unitech Ltd.,4226,General,
United Bank of India,7413,General,
United Breweries Ltd.,7939,General,
United Spirits Ltd.,2407,General,
UPL,5331,Chemicals,YES
Usha Martin,4252,Mines/Mineral,
V-Guard Industries,18410,General,YES
VA Tech Wabag,21004,Engineering,
Vakrangee,4286,IT,
Vardhman Special Steels,21185,Mines/Mineral,
Vardhman Textiles,2316,Manufacturing,Planned
Varroc Engineering Pvt,23180,Auto,
Varun Beverages,23577,Consumer Goods,
Vedanta,3520,Mines/Mineral,YES
Vesuvius India Ltd.,4334,General,
Veto Switchgears and Cables,21869,Engineering,YES
Videocon Industries Ltd.,4345,General,
Vijaya Bank,5556,Bank/Finance,
Vinati Organics,4371,Chemicals,YES
VIP Industries,4270,General,
Vodafone Idea,6883,Services,
Voith Paper Fabrics,2875,manufacturing,
Voltamp Transformers,16857,Engineering,
Voltas,4414,General,
VRL Logistics,22886,Services,
